Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Lab4,Chrome 123.0.0.0,,,27-03-2024 12:40:46,27-03-2024 12:42:51,2m - 5.095s,PASSED
,,,,,,,
Test Cases/check login,Chrome 123.0.0.0,,,27-03-2024 12:40:47,27-03-2024 12:40:57,10.268s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,27-03-2024 12:40:47,27-03-2024 12:40:52,4.545s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,27-03-2024 12:40:52,27-03-2024 12:40:52,0.807s,PASSED
"setText(findTestObject(""Lab4/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,27-03-2024 12:40:52,27-03-2024 12:40:55,2.341s,PASSED
"setText(findTestObject(""Lab4/input_Swag Labs_password""), pasword)",Chrome 123.0.0.0,,,27-03-2024 12:40:55,27-03-2024 12:40:56,0.877s,PASSED
"click(findTestObject(""Lab4/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,27-03-2024 12:40:56,27-03-2024 12:40:56,0.479s,PASSED
"verifyTextPresent(excepted, false)",Chrome 123.0.0.0,,,27-03-2024 12:40:56,27-03-2024 12:40:57,0.464s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,27-03-2024 12:40:57,27-03-2024 12:40:57,0.310s,PASSED
,,,,,,,
Test Cases/check login,Chrome 123.0.0.0,,,27-03-2024 12:40:57,27-03-2024 12:41:03,6.507s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,27-03-2024 12:40:57,27-03-2024 12:40:58,1.128s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,27-03-2024 12:40:58,27-03-2024 12:40:59,0.662s,PASSED
"setText(findTestObject(""Lab4/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,27-03-2024 12:40:59,27-03-2024 12:41:01,2.477s,PASSED
"setText(findTestObject(""Lab4/input_Swag Labs_password""), pasword)",Chrome 123.0.0.0,,,27-03-2024 12:41:01,27-03-2024 12:41:02,1.008s,PASSED
"click(findTestObject(""Lab4/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,27-03-2024 12:41:02,27-03-2024 12:41:03,0.432s,PASSED
"verifyTextPresent(excepted, false)",Chrome 123.0.0.0,,,27-03-2024 12:41:03,27-03-2024 12:41:03,0.529s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,27-03-2024 12:41:03,27-03-2024 12:41:03,0.244s,PASSED
,,,,,,,
